epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,868.435,0.45821,1.15142,0.00427,0.91214,0.76335,0.82216,0.59936,0.86348,3.08394,0.0126,0.000959289,0.000959289,0.000959289
80,879.211,0.41449,1.15146,0.00417,0.95343,0.76887,0.84738,0.62949,0.81674,2.84298,0.01167,0.000958253,0.000958253,0.000958253
81,890.457,0.44877,1.01313,0.00399,0.96192,0.77455,0.86583,0.63115,0.84278,2.67733,0.01146,0.000957205,0.000957205,0.000957205
82,901.203,0.40859,0.84798,0.00351,0.9416,0.73439,0.81839,0.62695,0.78805,3.18193,0.01071,0.000956145,0.000956145,0.000956145
83,912.224,0.46438,1.25457,0.0043,0.95617,0.71423,0.81801,0.62416,0.78548,3.05764,0.01073,0.000955072,0.000955072,0.000955072
84,923.387,0.48818,1.12985,0.00462,0.80353,0.77162,0.81072,0.58712,0.86982,3.38216,0.01185,0.000953987,0.000953987,0.000953987
85,934.064,0.47995,1.10964,0.00414,0.79696,0.75158,0.81554,0.57572,0.91163,3.50218,0.0122,0.000952889,0.000952889,0.000952889
86,944.879,0.46328,1.01568,0.00412,0.9447,0.7157,0.82846,0.60904,0.87226,3.13676,0.01203,0.00095178,0.00095178,0.00095178
87,955.315,0.45725,0.99268,0.00407,0.9472,0.75025,0.84254,0.61658,0.89426,3.12159,0.01249,0.000950658,0.000950658,0.000950658
88,966.153,0.47459,1.11701,0.00434,0.90047,0.78627,0.84708,0.59145,0.9436,2.84968,0.01321,0.000949524,0.000949524,0.000949524
89,976.732,0.43635,0.92978,0.00422,0.93029,0.79852,0.85305,0.61538,0.85702,2.61187,0.01192,0.000948377,0.000948377,0.000948377
90,987.489,0.42394,1.04346,0.0038,0.93269,0.7964,0.84052,0.61219,0.82462,2.87478,0.01147,0.000947219,0.000947219,0.000947219
91,998.045,0.47471,1.15188,0.00417,0.90398,0.74675,0.83459,0.61843,0.81,3.02147,0.01125,0.000946048,0.000946048,0.000946048
92,1008.84,0.44599,0.94647,0.004,0.95321,0.73955,0.83928,0.63215,0.80278,3.18416,0.01141,0.000944866,0.000944866,0.000944866
93,1019.57,0.4428,0.91528,0.0043,0.89582,0.74961,0.84949,0.5988,0.89098,3.0493,0.01296,0.000943671,0.000943671,0.000943671
94,1030.32,0.42827,1.01202,0.00384,0.93519,0.76857,0.86021,0.59048,0.87271,3.26992,0.01249,0.000942464,0.000942464,0.000942464
